,Unnamed: 0,id,date,text,favorites,retweets,reply_count,quote_count,sentiment_polarity,follower_count
0,0,8.15e+17,12/29/2016,"b""The remarkable Thomas Sowell's final column: https://t.co/sGHQZmMz80""",248,100,,,0.375,903291
1,1,8.13e+17,12/26/2016,"b'Merry Christmas and Happy Hanukkah to all, especially those in the Armed Forces protecting our nation and their families. We pray for you.'",2031,283,,,0.4,899626
2,2,8.11e+17,12/20/2016,b'My take on why Scott Pruitt is ready to turn around the EPA. https://t.co/lxPkb4jle4',212,104,,,0.2,892975
3,3,8.11e+17,12/20/2016,"b'The Company Founder\xe2\x80\x99s Special Sauce...an owners mindset, sense of urgency and front line obsession. https://t.co/mmjdz58AU8'",120,36,,,0.35714285714285715,892975
4,4,8.1e+17,12/16/2016,"b'All of the finalists were great candidates. I applaud Rick Scott for appointing Alan Lawson, who will be an excellent Supreme Court justice.'",233,36,,,0.9,887427
5,5,8.09e+17,12/15/2016,b'The massive tragedy in Aleppo only escalates as America continues our withdrawal. Just devastating. https://t.co/eLVp8TWyCq',251,136,,,-0.3333333333333333,885974
6,6,8.09e+17,12/14/2016,"b'Congratulations to my friend @GovernorPerry! Through his leadership and experience, he will make an excellent Secretary of Energy.'",669,124,,,1.0,885271
7,7,8.09e+17,12/14/2016,b'Rex Tillerson is a good man and accomplished leader who will serve our country well as Secretary of State.',1780,579,,,0.45,885271
8,8,8.08e+17,12/10/2016,b'The Spoils of the Republican State Conquest This is an under reported story. The action will move to the States. https://t.co/XiDgzRNEOb',224,108,,,0.1,879681
9,9,8.07e+17,12/9/2016,"b""Important Florida read from @alevine014: Florida's economic future depends on a new education goal: https://t.co/zUilcdTMIM""",59,21,,,0.11212121212121212,877910
10,10,8.07e+17,12/9/2016,"b""Check out the National Council on Teacher Quality's new analysis of teacher prep programs. Congrats to @purduemitch\xe2\x80\xa6 https://t.co/3OMHPleX1A""",105,25,,,0.13636363636363635,877910
11,11,8.07e+17,12/8/2016,b'Another good pick: @AndyPuzder is a strong conservative leader and successful businessman who will do a phenomenal job as Labor Secretary.',473,130,,,0.5958333333333333,875498
12,12,8.07e+17,12/8/2016,"b'God bless this great American hero. Godspeed, John Glenn. https://t.co/u4sfG6w1qU'",484,119,,,0.4,875498
13,13,8.07e+17,12/8/2016,"b""On the 75th anniversary of the Pearl Harbor attack, I hope you check out @GeorgeHWBush's speech from 25 years ago.  https://t.co/DZ88Zjql4A""",452,123,,,0.0,875498
14,14,8.07e+17,12/7/2016,"b""Can't imagine a better pick than my friend @AGScottPruitt to reform an out-of-control EPA. He'll bring common sense\xe2\x80\xa6 https://t.co/qrgpo3bkt9""",830,276,,,0.1,872981
15,15,8.07e+17,12/7/2016,b'General Kelly is a great choice to lead the Department of Homeland Security. https://t.co/mBgK6eQVpN',539,172,,,0.8,872981
16,16,8.06e+17,12/6/2016,b'Honored to meet @angeladuckw at #EIE16. Learn how her groundbreaking research is revolutionizing education: https://t.co/l738JFVhp5.',95,19,,,0.0,866550
17,17,8.06e+17,12/5/2016,"b'USA Today: George H.W. Bush: 75 years after Pearl Harbor, strength renewed: https://t.co/yArm4GhaHW'",275,92,,,0.0,863553
18,18,8.06e+17,12/5/2016,b'A Trump SWAT Team for Regulation ....a great idea! https://t.co/i2cPkEqLt5',159,58,,,0.8,863553
19,19,8.06e+17,12/5/2016,b'It was exciting to feature @khanacademy &amp; @CollegeBoard at #EIE16. Partnership gives all students chance at success: https://t.co/iTU8EeDDdN',141,32,,,0.3,863553
20,20,8.05e+17,12/3/2016,"b'A heartwrenching, but beautiful reminder that we live in the greatest country on earth. https://t.co/hNPH7NQTIK'",461,117,,,0.6621212121212121,857824
21,21,8.05e+17,12/3/2016,b'A big thanks to the @ExcelinEd team for a successful #EIE16! Inspiring to see 1100 ed reformers convene to transfor\xe2\x80\xa6 https://t.co/WDpKgfNxmn',283,48,,,0.3625,857824
22,22,8.04e+17,12/1/2016,"b'RT @ExcelinEd: Opening Keynote from Gov. @JebBush to 1,000+ education leaders from 49 states and 4 countries. https://t.co/ir6QOmqnFR'",0,30,,,0.0,852144
23,23,8.04e+17,12/1/2016,b'The Foundation for Excellence in Education is excited to kick off our 9th annual National Summit on Education Refor\xe2\x80\xa6 https://t.co/o6i1IwGNDb',170,55,,,0.375,852144
24,24,8.04e+17,12/1/2016,b'Great to have so many MVP students from the @DCISchool here at #EIE16 @ExcelinEd https://t.co/CjmmLu7cO9',136,24,,,0.5,852144
25,25,8.04e+17,11/30/2016,b'Good piece on the potential for bold education reform under the new administration. https://t.co/6GOUXdQ0dF',181,59,,,0.15656565656565655,849469
26,26,8.04e+17,11/30/2016,"b'On this #GivingTuesday, help us transform the quality of education in America by supporting @ExcelinEd. #edreform'",133,28,,,0.25,849469
27,27,8.04e+17,11/29/2016,"b""Please keep the Florida Coalition Against Domestic Violence in mind on this #GivingTuesday. It's a great organizati\xe2\x80\xa6 https://t.co/bv1K6WdZKf""",207,59,,,0.4,843161
28,28,8.04e+17,11/29/2016,b'An important cause to remember on this #GivingTuesday. Visit https://t.co/pu5X4pPp7V for more info. https://t.co/CgccGiERgt',131,53,,,0.45,843161
29,29,8.03e+17,11/28/2016,b'RT @ExcelinEd: Will we see you at #EIE16 on Thursday? https://t.co/49ws17N95M',0,4,,,0.0,840147
30,30,8.03e+17,11/27/2016,"b'RT @greggutfeld: the worst thing you could be in Cuba, is a Cuban. the best thing to be is a American, naive celebrity tourist.'",0,657,,,-0.075,837160
31,31,8.03e+17,11/26/2016,b'Failing to mention that millions have suffered because of Fidel Castro is a tragedy. https://t.co/SbhImMuqa5',1716,701,,,0.0,834073
32,32,8.03e+17,11/26/2016,b'Fidel Castro\xe2\x80\x99s passing marks a symbolic end to more than a half-century of tyranny and oppression. Viva Cuba libre! https://t.co/mlU8vXCf5A',1087,422,,,0.5,834073
33,33,8.02e+17,11/25/2016,b'My take on where Republicans go from here. https://t.co/CgFcSYfcn5',429,203,,,0.0,831397
34,34,8.02e+17,11/24/2016,"b'Thankful for the men and women serving our nation and keeping us safe, especially those who are away from their fam\xe2\x80\xa6 https://t.co/dLGqRa3sJh'",1526,307,,,0.25,828496
35,35,8.01e+17,11/23/2016,b'Betsy DeVos is an outstanding pick for Secretary of Education. I look forward to her bold leadership at the USDOE.\nhttps://t.co/PioGyTQe4t',1668,652,,,0.4166666666666666,825480
36,36,8.01e+17,11/22/2016,b'This is the right thing to do. President Obama should heed this request. https://t.co/0Wi07aHx1M',332,94,,,0.2857142857142857,823055
37,37,8.01e+17,11/22/2016,b'@RosLehtinen @EduardoJPadron @MDCollege @BarackObama GREAT choice!!!',18,4,,,0.8,823055
38,38,8.01e+17,11/22/2016,b'Great pick by the President-elect. Mauricio Claver-Carone is one of the strongest advocates for a free Cuba. https://t.co/P9sgzaREvu',568,213,,,0.4,823055
39,39,8e+17,11/19/2016,b'President-elect Trump made a great choice in asking Mike Pompeo to lead the CIA. https://t.co/q4G3ItZYiL',2046,683,,,0.8,818354
40,40,7.99e+17,11/17/2016,b'Good piece by Mauricio Claver-Carone in the @MiamiHerald: Obama\xe2\x80\x99s Cuba Policy Makes Bad Situation Worse https://t.co/7mO2tD4ESz',133,84,,,-0.5499999999999999,815299
41,41,7.99e+17,11/16/2016,"b""I hope you join me for @ExcelinEd's 2016 National Summit on #EdReform. Here's a preview: https://t.co/bwqFBMDTEM https://t.co/wFFB1FZ6xl""",98,36,,,0.0,813987
42,42,7.99e+17,11/15/2016,"b""Fascinating profile from @reason: Meet Johannesburg's New Libertarian Mayor: https://t.co/FoFsBU6Yr9""",174,71,,,0.13636363636363635,812544
43,43,7.99e+17,11/15/2016,b'Justice O\xe2\x80\x99Connor deserves great credit for her work. Never has restoring civics education been so important. https://t.co/uoSOWubM7Z',388,143,,,0.6000000000000001,812544
44,44,7.99e+17,11/15/2016,b'Great news for Congress and our country. https://t.co/7bJ3G9QHka',625,132,,,0.0,812544
45,45,7.97e+17,11/11/2016,"b'Our nation is grateful for the service and sacrifice of our veterans, active duty troops and their families, today\xe2\x80\xa6 https://t.co/7emtPpbzIE'",896,161,,,-0.13333333333333333,804294
46,46,7.97e+17,11/10/2016,b'Semper fi! #HappyBirthdayMarines https://t.co/hWdcC7qo2c',239,52,,,0.0,802029
47,47,7.96e+17,11/9/2016,b'Last night was a great night for the @The_RGA. Congratulations to all the new Republican governors! https://t.co/r04pzt894y',545,151,,,0.4681818181818182,798785
48,48,7.96e+17,11/9/2016,"b'Congratulations on your victory @realDonaldTrump. As our President, Columba and I will pray for you in the days and months to come.'",9902,2821,,,0.0,798785
49,49,7.96e+17,11/9/2016,"b'What a great win for Wisconsin and our country. Congratulations, @RonJohnsonWI! https://t.co/c0NN82OMrU'",528,109,,,0.8,798785
50,50,7.96e+17,11/9/2016,"b'Proud of my friend, @carloslcurbelo. Well deserved win for a great Florida leader and congressman. We need more like him in Washington.'",676,147,,,0.7000000000000001,798785
51,51,7.96e+17,11/9/2016,"b'Congratulations on the great victory, @marcorubio! Florida is critical to keeping the Senate.'",3342,967,,,0.4,798785
52,52,7.96e+17,11/8/2016,b'Vote #Yeson2MA! Best of luck with your #edreform agenda @MassGovernor! https://t.co/3HlYb2y8cQ',110,33,,,1.0,793772
53,53,7.95e+17,11/4/2016,"b'Thanks for sharing your powerful story, Jackie. Ellen sounds amazing. Next time you see her, tell her I said so. https://t.co/ejuwjEhBmv'",306,60,,,0.30000000000000004,791582
54,54,7.95e+17,11/4/2016,b'I have a confession to make. #gigem https://t.co/ceT27G7XB6',433,191,,,0.0,791582
55,55,7.94e+17,11/2/2016,b'The fact that this brutal dictator remains in power is an unfortunate consequence of our failure to lead abroad. https://t.co/Mqk5K5Zoj9',487,146,,,-0.5638888888888889,789849
56,56,7.94e+17,11/1/2016,"b""Michael Mukasey's sobering account on the state of Hillary Clinton's email scandal and role of Obama White House: https://t.co/A8TpNQtHRP""",225,183,,,0.0,789072
57,57,7.93e+17,10/31/2016,"b""Join us next month for @ExcelinEd's 2106 National Summit on Education Reform: https://t.co/wFFB1FHvFN #EIE16""",69,16,,,0.0,788241
58,58,7.93e+17,10/31/2016,b'WSJ: The American left tries to stigmatize Muslim reformers: https://t.co/yKb00wyjfE',120,96,,,-0.03333333333333333,788241
59,59,7.91e+17,10/24/2016,"b""Mark Helprin raises important questions about President Obama's failed foreign policy strategy when it comes to Ira\xe2\x80\xa6 https://t.co/EqOMmoafJ5""",238,104,,,-0.075,782359
60,60,7.91e+17,10/24/2016,b'Holding veterans responsible for gross mismanagement by California officials is detestable. https://t.co/Mib2Yakw8r',529,230,,,0.1,782359
61,61,7.89e+17,10/20/2016,"b'Good reminders. Thanks, Canada. https://t.co/IxHXsnOF59'",694,345,,,0.2,777310
62,62,7.89e+17,10/20/2016,b'Great to have @PRyan in Miami to support our friend and great Florida leader @carloslcurbelo! https://t.co/fSw25lf6xl',623,124,,,0.8,777310
63,63,7.88e+17,10/18/2016,b'RT @NavyOutreach: @USNavy Sailors from @CVN77_GHWB and USS Houston had the honor to meet with @GeorgeHWBush and Barbara Bush during Houston\xe2\x80\xa6',0,72,,,0.0,773647
64,64,7.88e+17,10/16/2016,"b""RT @ExcelinEd: Today's #NAACP vote sends a harmful message to the nation's nearly 3 million charter school students. https://t.co/y0YuOch6mf""",0,29,,,0.1,770821
65,65,7.87e+17,10/15/2016,b'Robby George is right. The anti-Catholic bigotry - and bigotry generally against people of faith - displayed by Tea\xe2\x80\xa6 https://t.co/HsAuTqQTCv',1130,697,,,0.16785714285714287,769692
66,66,7.87e+17,10/14/2016,b'Many thanks to the PEPG and @Paul_E_Peterson for opportunity to teach at @Harvard this fall. The students and facul\xe2\x80\xa6 https://t.co/r0t8n7XP51',534,65,,,0.2,769282
67,67,7.87e+17,10/13/2016,b'RT @ChoiceMediaTV: LIVE: Watch the @hgse #Askwith Forum with @JebBush on #EdPolicy https://t.co/LP3ozIzYpf @ExcelinEd',0,11,,,0.13636363636363635,768183
68,68,7.86e+17,10/11/2016,"b'So proud of @ColumbaBush &amp; FL Coalition Against Dom Violence. This weekend, we raised more than $400k to empower wo\xe2\x80\xa6 https://t.co/4yw24r2F4I'",1266,216,,,0.65,764615
69,69,7.86e+17,10/10/2016,b'Important piece by George Will on the repercussions of our withdrawal from the world. https://t.co/PTcc8muWFZ',324,116,,,0.0,763223
70,70,7.85e+17,10/7/2016,"b""As the grandfather of two precious girls, I find that no apology can excuse away Donald Trump's reprehensible comments degrading women.""",139801,57796,,,0.225,754173
71,71,7.84e+17,10/6/2016,b'Thanks and congrats to @onetoughnerd and the Michigan Legislature for passing landmark literacy reform. https://t.co/t6cQpBlxqN #edreform',133,44,,,0.0,752989
72,72,7.84e+17,10/6/2016,"b""Prayers for and thanks to Florida's first responders and first responders across the nation. #Matthew https://t.co/qWt3paJzAB""",1503,472,,,0.2333333333333333,752989
73,73,7.84e+17,10/6/2016,b'I encourage both presidential campaigns to be sensitive to all affected by Hurricane #Matthew in the coming days. https://t.co/bmM99VlUqm',832,212,,,0.1,752989
74,74,7.84e+17,10/5/2016,b'Good piece from @SenJohnMcCain. https://t.co/sZMhXYKeH2',168,60,,,0.0,751810
