,Unnamed: 0,username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
0,0,JohnKasich,12/29/2016,23,98,,,,,,"""In so many ways Ohio is developing the cutting-edge technologies of the future. Pleased to see our start-ups finding success here. pic.twitter.com/hhgycuCojc"";;;;""814583004165246976"";https://twitter.com/JohnKasich/status/814583004165246976        ",0.325,494130
1,1,JohnKasich,12/29/2016,15,54,,,,,,"""Grateful for the work of Jo Dee Davis to help offenders successfully transition back into the community this gift will improve many lives. https:// twitter.com/DRCOhio/status /814468954106236932 "";;;;""814516376455016449"";https://twitter.com/JohnKasich/status/814516376455016449        ",0.416666667,494130
2,2,JohnKasich,12/28/2016,17,45,,,,,,"""With this new tool it's even easier for job creators to see the advantages of expanding in Ohio. http://www. mydaytondailynews.com/business/state wide-employee-data-available-companies-online/pKudA84phTQtxN7srUgZFI/ "";;;;""814231677790777345"";https://twitter.com/JohnKasich/status/814231677790777345        ",0.136363636,493190
3,3,JohnKasich,12/28/2016,34,111,,,,"""814141073920577537""",https://twitter.com/JohnKasich/status/814141073920577537,"""Ohio has been enjoying record construction on its roadways Ã± and we did it without raising gas taxes. http://www. usatoday.com/story/news/201 6/12/27/state-gas-tax-changes/95788702/ ""        ",0.5,493190
4,4,JohnKasich,12/27/2016,35,93,,,,,,"""2016 was a great year for the Dayton region w/ 3400 new job commitments. Let's keep that momentum going next year! http://www. springfieldnewssun.com/business/more- than-400-new-jobs-committed-springfield-dayton-region/k3bOuJG5zHc6bHnlgsiePL/ "";;;;""813912385786216448"";https://twitter.com/JohnKasich/status/813912385786216448        ",0.312121212,492155
5,5,JohnKasich,12/27/2016,32,57,,@toledonews,,"""813819422825652224""",https://twitter.com/JohnKasich/status/813819422825652224,"""Great piece by @toledonews on an inspiring community effort to help people get back on their feet and into jobs. http://www. toledoblade.com/Keith-Burris/2 016/12/25/Dan-Rogers-and-pragmatic-hope-He-wants-to-help-people-reconstruct-reinvent-their-lives.html ""        ",0.433333333,492155
6,6,JohnKasich,12/26/2016,17,139,,,,,,"""Together our work to reduce sexual violence on college campuses can lead to a better campus culture for students. http:// sidneydailynews.com/opinion/column s/55627/effort-to-prevent-campus-sexual-violence-reaches-one-year-mark "";;;;""813429184139644928"";https://twitter.com/JohnKasich/status/813429184139644928        ",0.5,491588
7,7,JohnKasich,12/25/2016,108,909,,,,,,"""From my family to yours Merry Christmas! ""Glory to God in the highest  and on earth peace  good will toward men."" Luke 2:14 pic.twitter.com/Fz0Ih7F5xz"";;;;""813007649331507200"";https://twitter.com/JohnKasich/status/813007649331507200      ",0.7,491087
8,8,JohnKasich,12/24/2016,74,338,,,#hanukkah,"""812772352551329792""",https://twitter.com/JohnKasich/status/812772352551329792,"""Happy Hanukkah to all those in Ohio and across the world celebrating the Festival of Lights. #hanukkah pic.twitter.com/edc3e8ZU7W""        ",0.8,490549
9,9,JohnKasich,12/24/2016,47,123,,@UC_Health @DonateLifeOH,,"""812670975737270272""",https://twitter.com/JohnKasich/status/812670975737270272,"""What a great Christmas story! Saying ""yes"" to organ donation is 1 way we can all live a life bigger than ourselves. @UC_Health @DonateLifeOH pic.twitter.com/YdMDu2v5mU""        ",0.312121212,490549
10,10,JohnKasich,12/23/2016,13,24,,,,,,"""Winter happens. @ODOT_Statewide can help. Road conditions live traffic & 600+ live traffic cams on the OHGO app >> http:// OHGO.com/app ."";;@ODOT_Statewide;;""812296712316329985"";https://twitter.com/JohnKasich/status/812296712316329985        ",0.136363636,489861
11,11,JohnKasich,12/22/2016,34,62,,,,,,"""Looking for a new job in 2017? Right now on http:// OhioMeansJobs.com  50% of job openings pay $50k or more. Opportunity: #FindItHereOhio pic.twitter.com/uDaWqudbIm"";;;#FindItHereOhio;""812107986856353793"";https://twitter.com/JohnKasich/status/812107986856353793        ",0.307359307,489766
12,12,JohnKasich,12/22/2016,21,56,,,#cbj,"""812067319451189249""",https://twitter.com/JohnKasich/status/812067319451189249,"""Beat the Pens! #cbj https:// twitter.com/bluejacketsnhl /status/811949687703937024 ""        ",0,489766
13,13,JohnKasich,12/22/2016,21,38,,,,,,"""If you're a veteran looking to translate your experience to civilian life find your opportunity here in Ohio. https:// transfercredit.ohio.gov/pg_35?::NO"";;;;""812052289917685760"";https://twitter.com/JohnKasich/status/812052289917685760        ",0,489766
14,14,JohnKasich,12/22/2016,19,52,,,,,,"""Here in Ohio we make sure military training gets veterans the college credit they deserve. http:// time.com/4608543/vetera ns-college-credit-military-training-gi-bill/?xid=tcoshare "";;;;""812052156303949824"";https://twitter.com/JohnKasich/status/812052156303949824        ",0.2,489766
15,15,JohnKasich,12/21/2016,12,52,,,,"""811738040376791041""",https://twitter.com/JohnKasich/status/811738040376791041,"""pic.twitter.com/JCFJcRLdSM""        ",0,489565
16,16,JohnKasich,12/21/2016,29,71,,,#OhioFindItHere,"""811726981930909696""",https://twitter.com/JohnKasich/status/811726981930909696,"""Columbus & Cincinnati host two of the top ""15 Coolest Things Coming to US Cities in 2017""Ã¹. #OhioFindItHere https://www. thrillist.com/travel/nation/ best-new-places-to-visit-major-cities-us-2017 ""        ",0.5,489565
17,17,JohnKasich,12/21/2016,11,33,,,,,,"""Many of you will be traveling soon. Before you go be sure to check out these holiday travel tips from our friends at @ODOT_Statewide . https:// twitter.com/odot_statewide /status/811650149277691904 "";;@ODOT_Statewide;;""811669844898803712"";https://twitter.com/JohnKasich/status/811669844898803712        ",0.5,489565
18,18,JohnKasich,12/21/2016,53,126,,,,,,"""Want to thank a veteran? Hire one. Biz owners and HR professionals find out how at: http:// omj.ohio.gov/hireaveteran/i ndex.stm  pic.twitter.com/lbip42fePn"";;;;""811587030463299588"";https://twitter.com/JohnKasich/status/811587030463299588        ",0,489565
19,19,JohnKasich,12/20/2016,10,21,,,,,,"""When severe weather strikes OH the heating bill goes up. Learn if the Winter Crisis Program can help keep you warm: http:// development.ohio.gov/is/is_heapwint er.htm "";;;;""811330338878148611"";https://twitter.com/JohnKasich/status/811330338878148611        ",0.6,488809
20,20,JohnKasich,12/20/2016,28,128,,,,,,"""Great news out of central Ohio. Looking at the data 66 OH counties saw their unemployment rate improve last month. http://www. dispatch.com/content/storie s/business/2016/12/20/central-ohio-jobless-rate-lowest-in-15-years.html  pic.twitter.com/SOx6It3U0f"";;;;""811299483170537472"";https://twitter.com/JohnKasich/status/811299483170537472        ",0.266666667,488809
21,21,JohnKasich,12/20/2016,23,46,,,,"""811254862646112256""",https://twitter.com/JohnKasich/status/811254862646112256,"""Encourage the young people in your life to get a jump start on college for free. http:// Ohiohighered.org/ccp pic.twitter.com/TUKEBaHYFq""        ",0.25,488809
22,22,JohnKasich,12/20/2016,24,89,,,,"""811223297727856640""",https://twitter.com/JohnKasich/status/811223297727856640,"""Honored to see Ohio again receive national recognition for our innovative reforms to our criminal justice system. http://www. cbsnews.com/videos/the-har mony-project/ ""        ",0.05,488809
23,23,JohnKasich,12/19/2016,24,62,,,,,,"""More and more job creators are coming to Ohio to start their business. #OhioFindItHere pic.twitter.com/kEC68KqQC4"";;;#OhioFindItHere;""811017286911815681"";https://twitter.com/JohnKasich/status/811017286911815681        ",0.5,488530
24,24,JohnKasich,12/19/2016,14,164,,,,"""810986101854924801""",https://twitter.com/JohnKasich/status/810986101854924801,"""Thankful to have such a talented team as part of my senior staff. pic.twitter.com/8HBKk5yuJR""        ",0.35,488530
25,25,JohnKasich,12/19/2016,71,278,,@realDonaldTrump,#ElectoralCollege,"""810984411583959040""",https://twitter.com/JohnKasich/status/810984411583959040,"""Honored to speak at today's Ohio #ElectoralCollege meeting. Ohio cast its 18 votes for President-Elect @realDonaldTrump pic.twitter.com/0onYH6oQww""        ",0,488530
26,26,JohnKasich,12/19/2016,193,576,,,,"""810907561310326785""",https://twitter.com/JohnKasich/status/810907561310326785,"""Let's remember active military members who are away from their families during this holiday season. Thx for your sacrifices to keep us safe. pic.twitter.com/0XqoH4ihBh""        ",0.088888889,488530
27,27,JohnKasich,12/18/2016,50,162,,,#29c0893e2e15,"""810478743051386880""",https://twitter.com/JohnKasich/status/810478743051386880,"""Edison. The Wright Brothers. John Glenn. Innovation is nothing new to Ohio. http://www. forbes.com/sites/petertay lor/2016/11/07/why-the-midwest-is-about-to-become-americas-next-silicon-valley/#29c0893e2e15  pic.twitter.com/VkW2W3lMM3""        ",0.136363636,488099
28,28,JohnKasich,12/17/2016,75,220,,@YoungstownStFB,#GoGuins,"""810328191315431424""",https://twitter.com/JohnKasich/status/810328191315431424,"""Congrats to @YoungstownStFB as they advance to the FCS national championship game on January 7th. What a game... what a catch! #GoGuins""        ",-0.4,487694
29,29,JohnKasich,12/17/2016,32,149,,,,"""810258632218726400""",https://twitter.com/JohnKasich/status/810258632218726400,"""Gov. John Kasich on the passing of Dr. Henry Heimlich: pic.twitter.com/52kzWviNZw""        ",0,487694
30,30,JohnKasich,12/17/2016,73,320,,,,"""810197260604678144""",https://twitter.com/JohnKasich/status/810197260604678144,"""John Glenn was one of our ownÃ± a native son who never forgot his hometown roots. He truly was one of Ohio's & the nation's greatest heroes. https:// twitter.com/OhioState/stat us/810122674831847424 ""        ",1,487694
31,31,JohnKasich,12/17/2016,21,67,,,,"""810122384426442758""",https://twitter.com/JohnKasich/status/810122384426442758,"""The legacy of these OH innovators continues to inspire us to embrace the future of transportation.Experience it here: http://www. nps.gov/daav/index.htm pic.twitter.com/tgGJuekedB""        ",0,487694
32,32,JohnKasich,12/16/2016,144,610,,,,,,"""John Glenn's legacy continues to inspire others to make a difference living a life bigger than ourselves. That's how Glenn lived each day. pic.twitter.com/lM96r0X4Wd"";;;;""809891406403829764"";https://twitter.com/JohnKasich/status/809891406403829764        ",0,487359
33,33,JohnKasich,12/15/2016,85,408,,,,"""809534910646153221""",https://twitter.com/JohnKasich/status/809534910646153221,"""Good news for students and their families: I signed a bill today to expand STEM education to all grade levels.""        ",0.7,487034
34,34,JohnKasich,12/15/2016,38,137,,@MarleneAnielski,,"""809494754564173826""",https://twitter.com/JohnKasich/status/809494754564173826,"""Just signed a bill that will help lift up those who've tragically lost loved ones to suicide. Thanks for your leadership @MarleneAnielski . pic.twitter.com/qeX1veLMey""        ",0.45,487034
35,35,JohnKasich,12/14/2016,67,235,,,,,,"""The #1 way to tackle addiction is stopping drug use before it starts. This holiday season @StartTalkingOH ""Ã£ about the dangers of drugs. pic.twitter.com/4wmkfDmGxt"";;@StartTalkingOH;#1;""809207628446494720"";https://twitter.com/JohnKasich/status/809207628446494720        ",0,487478
36,36,JohnKasich,12/14/2016,81,238,,,,,,"""As the temperature drops make it a point to look after your neighbors too  especially our seniors. http://www. aging.ohio.gov/information/em ergencypreparedness/  #WellBeyond60 pic.twitter.com/sEK2NqHLdK"";;;#WellBeyond60;""809067337429254144"";https://twitter.com/JohnKasich/status/809067337429254144       ",0,487478
37,37,JohnKasich,12/13/2016,133,317,,@ohiolife,,"""808785159831035905""",https://twitter.com/JohnKasich/status/808785159831035905,"""I appreciate the support of Ohio Right to Life. @ohiolife READ MORE: http://www. ohiolife.org/gov_kasich_sig ns_landmark_bill_to_challenge_roe  pic.twitter.com/b1eLMM4mDq""        ",0.392857143,487849
38,38,JohnKasich,12/13/2016,15,33,,,,,,"""AP: Workforce report envisions new roles for libraries chambers http:// m.apnews.com/ap/db_268748/c ontentdetail.htm?contentguid=lDIWJoIM  pic.twitter.com/FYzXDETzQb"";;;;""808770776388214784"";https://twitter.com/JohnKasich/status/808770776388214784        ",0.136363636,487849
