,Unnamed: 0,username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
0,0,marcorubio,12/28/2016,2151,4994,,,#teammarco,"""814204801349259264""",https://twitter.com/marcorubio/status/814204801349259264,"""Secretary Kerry's anti-Israel speech undermines America's moral standing. #teammarco pic.twitter.com/OHTEimDRLz""",0,1786567
1,1,marcorubio,12/22/2016,570,3709,,,,,,"""""For to us a child is born to us a son is given..."" Isaiah 9:6 pic.twitter.com/jqN9yaYwaq"";;;;""812012842316660736"";https://twitter.com/marcorubio/status/812012842316660736",0,1774529
2,2,marcorubio,12/11/2016,8772,19819,,,#SecretaryOfState,"""807962818272235521""",https://twitter.com/marcorubio/status/807962818272235521,"""Being a ""friend of Vladimir"" is not an attribute I am hoping for from a #SecretaryOfState - MR""",0,1750514
3,3,marcorubio,12/10/2016,508,2165,,@JohnKennedyLA,#LASen,"""807783548665139200""",https://twitter.com/marcorubio/status/807783548665139200,"""Congratulations to @JohnKennedyLA on winning his election today in Louisiana. I look forward to our service together. #LASen""",0.5,1749139
4,4,marcorubio,12/7/2016,142,431,,@JoshMandelOhio,,"""806621829238575112""",https://twitter.com/marcorubio/status/806621829238575112,"""Proud to stand with my friend @JoshMandelOhio - https:// twitter.com/joshmandelohio /status/806521104441352193 """,0.8,1743946
5,5,marcorubio,12/7/2016,211,368,,,#Cubans #Cuba,"""806534236136243200""",https://twitter.com/marcorubio/status/806534236136243200,"""Please Read: Let #Cubans choose their own future http://www. miamiherald.com/opinion/op-ed/ article119295858.html  #Cuba""",0.3,1743946
6,6,marcorubio,12/7/2016,168,570,,@KellyAyotte,#GraniteState #NewHampshire,"""806533412593041410""",https://twitter.com/marcorubio/status/806533412593041410,"""It was a blessing to serve with @KellyAyotte I know we will see her again serving our country & the #GraniteState of #NewHampshire""",0,1743946
7,7,marcorubio,12/7/2016,75,210,,@GovGoneWild @FloridaGOP,#TeamMarco,"""806528727601577984""",https://twitter.com/marcorubio/status/806528727601577984,"""Excited to support @GovGoneWild for re-election as Chairman of @FloridaGOP ! #TeamMarco""",0.375,1743946
8,8,marcorubio,12/6/2016,110,385,,@SenDanCoats,#Indiana,"""806259658881110016""",https://twitter.com/marcorubio/status/806259658881110016,"""We will miss @SenDanCoats a true patriot who has served #Indiana & America with distinction & honor.""",0.35,1740007
9,9,marcorubio,12/6/2016,76,193,,@CommBovo @MiamiDadeCounty,,"""806192022315008000""",https://twitter.com/marcorubio/status/806192022315008000,"""Great news! @CommBovo will do a great job for @MiamiDadeCounty https:// twitter.com/doug_hanks/sta tus/806187535416365056 """,0.8,1740007
10,10,marcorubio,12/1/2016,475,420,,,,,,"""Detained Cuban artist who mocked #FidelCastro death 'was badly beaten' family says http://www. miamiherald.com/news/nation-wo rld/world/americas/fidel-castro-en/article117981758.html "";;;#FidelCastro;""804336724004499457"";https://twitter.com/marcorubio/status/804336724004499457",-0.7,1727040
11,11,marcorubio,11/28/2016,45,141,,,,,,"""late response because busy weekend. #FidelCastro died @MiamiDolphins won & one other thing happened I rather not discuss"";;@MiamiDolphins;#FidelCastro;""803263219934654464"";https://twitter.com/marcorubio/status/803263219934654464",-0.108333333,1718723
12,12,marcorubio,11/28/2016,142,649,,,,,,"""Took me a while because it was a busy weekend. #FidelCastro died #MiamiDolphins won & one other thing happened I would rather not discuss. https:// twitter.com/livinglegend_4 4/status/803260687388708864 "";;;#FidelCastro #MiamiDolphins;""803262643599458304"";https://twitter.com/marcorubio/status/803262643599458304",-0.0125,1718723
13,13,marcorubio,11/28/2016,158,513,,,,,,"""you earned it. Congrats. Stay healthy you are about to get paid. & I hope you are a @MiamiDolphins in 2017"";;@MiamiDolphins;;""803259598501191681"";https://twitter.com/marcorubio/status/803259598501191681",0.5,1718723
14,14,marcorubio,11/28/2016,36,143,,,,"""803258657404227584""",https://twitter.com/marcorubio/status/803258657404227584,"""played incredible yesterday. Having a ProBowl season.""",0.9,1718723
15,15,marcorubio,11/27/2016,697,2015,,,,"""802971251539116033""",https://twitter.com/marcorubio/status/802971251539116033,"""Rolling back President Obama's one-sided concessions to the Castro regime will be a top priority for me. https:// youtu.be/IUC57XmgKnM""",0.25,1715077
