,Unnamed: 0,username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
0,0,tedcruz,12/30/2016,526,1175,,,,,,"""Gosh why aren't the press saying the same thing now? https:// twitter.com/newsbusters/st atus/814548750660227072 "";;;;""814860779358945281"";https://twitter.com/tedcruz/status/814860779358945281",0.0,1928449
1,1,tedcruz,12/30/2016,316,733,,,#StandWithIsrael,"""814858891976699904""",https://twitter.com/tedcruz/status/814858891976699904,"""#StandWithIsrael : https://www. tedcruz.org/l/defund-the-u n/  https:// twitter.com/tedcruz/status /814858805884358656 """,0.0,1928449
2,2,tedcruz,12/30/2016,1180,2814,,,,"""814858805884358656""",https://twitter.com/tedcruz/status/814858805884358656,"""History will record and the world will fully understand Obama and Kerry as relentless enemies of Israel: http://www. timesofisrael.com/ted-cruz-histo ry-to-record-obama-kerry-as-relentless-enemies-of-israel/ """,0.0,1928449
3,3,tedcruz,12/29/2016,708,2542,,,,,,"""Glad to see @charliesheen seeking God & following the admonition of 1 Timothy 2:2 but somehow I don't think that's what the verse means.... https:// twitter.com/charliesheen/s tatus/814303837225762816 "";;@charliesheen;;""814558260242083840"";https://twitter.com/tedcruz/status/814558260242083840",0.25,1925944
4,4,tedcruz,12/29/2016,1041,1425,,,#StandWithIsrael,"""814501435945713664""",https://twitter.com/tedcruz/status/814501435945713664,"""US taxpayer dollars are being used to fund an anti-Israel BDS database at the UN. This has to STOP: https://www. tedcruz.org/l/defund-the-u n/  #StandWithIsrael https:// twitter.com/ActForIsrael/s tatus/814471079351746560 """,0.0,1925944
5,5,tedcruz,12/28/2016,1309,3498,,,,,,"""America is an unshakable friend of Israel and we are horrified at what has transpired this week: https://www. facebook.com/tedcruzpage/po sts/10154780803392464 "";;;;""814229073534844928"";https://twitter.com/tedcruz/status/814229073534844928",0.0,1922359
6,6,tedcruz,12/27/2016,8510,15686,,,#StandWithIsrael,"""813839777254490113""",https://twitter.com/tedcruz/status/813839777254490113,"""Add your name if you agree -- no US funding for the UN until the Israel vote is reversed: https://www. tedcruz.org/l/defund-the-u n/  #StandWithIsrael""",0.0,1918610
7,7,tedcruz,12/26/2016,1146,2492,,,,,,"""For decades Thomas Sowell was a brilliant thinker & writer. He inspired a generation of conservatives. His wisdom will very much be missed. https:// twitter.com/peggynoonannyc /status/813603796005879812 "";;;;""813613554490347520"";https://twitter.com/tedcruz/status/813613554490347520",0.5800000000000001,1916537
8,8,tedcruz,12/26/2016,1384,3197,,,,"""813432715009818624""",https://twitter.com/tedcruz/status/813432715009818624,"""Cruz Calls On Congress To Stop Funding To UN Over Israel Vote http:// dailycaller.com/2016/12/25/cru z-calls-on-congress-to-stop-funding-to-un-over-israel-vote/ """,0.0,1916537
9,9,tedcruz,12/24/2016,4555,9216,,@netanyahu,,"""812803863367532546""",https://twitter.com/tedcruz/status/812803863367532546,"""Spoke w/ Israeli PM @netanyahu tonight to wish him Happy Chanukah & assure him of strong support in Congress. No US $ for UN until reversed.""",0.6166666666666667,1912104
10,10,tedcruz,12/24/2016,839,5467,,,,"""812704285649674240""",https://twitter.com/tedcruz/status/812704285649674240,"""From our family to yours -- wishing you a Merry Christmas and a blessed Holiday Season! pic.twitter.com/tk0kP8KKRv""",0.0,1912104
11,11,tedcruz,12/23/2016,658,1857,,,,,,"""I get that as a GQ writer you must defend Obama. But ""straw man""? Care to lay odds that come 2017 Obama tries to undermine Trump non-stop? https:// twitter.com/farragutwest/s tatus/812445037078286336 "";;;;""812446563519922176"";https://twitter.com/tedcruz/status/812446563519922176",-0.1,1909651
12,12,tedcruz,12/23/2016,2668,5166,,,,,,"""Obama remember that. Do all the damage you can but come Jan 20 -- don't forget your own words! ""There's one president at a time."" https:// twitter.com/dcexaminer/sta tus/812435584694239232 "";;;;""812441300574343168"";https://twitter.com/tedcruz/status/812441300574343168",0.6,1909651
13,13,tedcruz,12/23/2016,456,1175,,,,"""812440193009668100""",https://twitter.com/tedcruz/status/812440193009668100,"""Sad. Really sad. https:// twitter.com/jaketapper/sta tus/812434502211473408 """,-0.5,1909651
14,14,tedcruz,12/23/2016,351,975,,,,"""812358365649182720""",https://twitter.com/tedcruz/status/812358365649182720,"""Our continued prayers are with our fellow Texans and all those who have suffered from the terror attack in Berlin. https:// twitter.com/dallasnews/sta tus/812034225452949504 """,0.0,1909651
15,15,tedcruz,12/22/2016,465,912,,,,"""812012209392025601""",https://twitter.com/tedcruz/status/812012209392025601,"""The UNSC has no authority over Israel's sovereignty: https://www. facebook.com/tedcruzpage/po sts/10154759370232464 """,0.0,1909891
16,16,tedcruz,12/22/2016,76,379,,,,,,"""Thank you Maggie! https:// twitter.com/maggiecwright/ status/811937033480454144 "";;;;""811974898239373316"";https://twitter.com/tedcruz/status/811974898239373316",0.0,1909891
17,17,tedcruz,12/22/2016,123,660,,,,"""811927577598263296""",https://twitter.com/tedcruz/status/811927577598263296,"""Thanks! https:// twitter.com/chasflemming/s tatus/811920482220044288 """,0.2,1909891
18,18,tedcruz,12/21/2016,605,1811,,,#DefundPlannedParenthood,"""811660679874805761""",https://twitter.com/tedcruz/status/811660679874805761,"""Great news! #DefundPlannedParenthood https:// twitter.com/dcexaminer/sta tus/811610025533784064 """,0.8,1907388
19,19,tedcruz,12/20/2016,1327,2388,,,,,,"""Shameful. Obama continues to disrespect law enforcement appointing an advocate for a cop killer. This should be undone by the next POTUS. https:// twitter.com/cr/status/8113 80670715035652 "";;;;""811459546644418560"";https://twitter.com/tedcruz/status/811459546644418560",0.0,1902947
20,20,tedcruz,12/20/2016,779,1589,,,,,,"""Yet another Obama abuse of power. Hopefully on that will be reversed...exactly one month from today. #TakingAwayObamasPen &Phone https:// twitter.com/cnn/status/811 276985787883520 "";;;#TakingAwayObamasPen;""811326618094407681"";https://twitter.com/tedcruz/status/811326618094407681",0.0,1902947
21,21,tedcruz,12/20/2016,264,1005,,,,,,"""Our prayers are with the victims & families impacted by the vicious rash of attacks in Jordan Turkey & Germany: https://www. facebook.com/tedcruzpage/po sts/10154753627632464 "";;;;""811304669741989888"";https://twitter.com/tedcruz/status/811304669741989888",-1.0,1902947
22,22,tedcruz,12/20/2016,1003,1236,,,,"""811233603384471552""",https://twitter.com/tedcruz/status/811233603384471552,"""Hope you'll read and RT! https:// twitter.com/CR/status/8110 03182520279040 """,0.0,1902947
23,23,tedcruz,12/19/2016,239,323,,,#745c60ee38a8,"""810850753799712768""",https://twitter.com/tedcruz/status/810850753799712768,"""The Audacity Of Silence On Possible Iran-North Korea Nuclear Ties: http://www. forbes.com/sites/claudiar osett/2016/12/15/the-audacity-of-silence-on-possible-iran-north-korea-nuclear-ties/#745c60ee38a8 """,0.0,1900652
24,24,tedcruz,12/18/2016,1250,1123,,,,"""810596484710285312""",https://twitter.com/tedcruz/status/810596484710285312,"""Raul Castro is picking up exactly where Fidel left off -- tossing a dissident and his American lawyer in jail: http://www. miamiherald.com/news/nation-wo rld/world/americas/cuba/article121468767.html """,0.0375,1898328
